Source,Target,Weight,Type
8,26,111.614,directed
8,135,2707.962,directed
8,112,3321.837,directed
8,71,3175507.819,directed
8,48,5388.685,directed
8,29,365987.423,directed
8,53,2491.378,directed
8,110,37047.124,directed
8,147,33651.542,directed
8,103,14312.469,directed
8,150,2657.47,directed
8,150,2657.47,directed
8,135,2707.962,directed
8,112,3321.837,directed
8,76,13287.35,directed
8,26,111.614,directed
8,71,3175507.819,directed
8,53,2491.378,directed
8,48,5388.685,directed
8,29,365987.423,directed
8,110,37047.124,directed
8,147,33651.542,directed
8,103,14312.469,directed
29,18,729.386,directed
8,8,43630.262,directed
140,8,20647.02,directed
69,8,16846.406,directed
138,8,50713.416,directed
135,8,20948.171,directed
101,8,42438.094,directed
39,8,17889.928,directed
71,8,898355.724,directed
113,8,6005.444,directed
15,8,27982.859,directed
145,8,12593.052,directed
53,8,1526699.368,directed
76,8,5996.003,directed
147,8,127572.847,directed
142,8,2242.705,directed
29,18,173.337,directed
29,18,902.722,directed
53,18,26.902,directed
53,18,26.902,directed
29,18,173.337,directed
29,18,902.722,directed
28,111,835.907,directed
113,28,23932.53,directed
116,28,53.2,directed
29,20,104896.0,directed
147,20,6440.0,directed
138,20,127.0,directed
101,20,1487.0,directed
135,20,5688.0,directed
128,20,1211936.0,directed
71,20,3486457.0,directed
53,20,198620.0,directed
76,20,1092054.0,directed
15,20,10370.0,directed
14,20,591.0,directed
8,8,43630.262,directed
8,8,43630.262,directed
29,18,173.337,directed
53,18,26.902,directed
29,18,729.386,directed
135,4,45100.731,directed
53,18,26.902,directed
53,18,26.902,directed
29,18,902.722,directed
53,18,26.902,directed
29,18,729.386,directed
129,26,752.644,directed
129,26,752.644,directed
71,26,8544.282,directed
26,26,14898.786,directed
26,26,14898.786,directed
147,26,98693.345,directed
26,26,14898.786,directed
39,26,60870.786,directed
147,26,98693.345,directed
29,26,6887.874,directed
38,26,10628.127,directed
15,26,131857.812,directed
76,26,55359.302,directed
90,26,81416.621,directed
29,26,1482266.231,directed
26,26,1634.925,directed
98,26,77.042,directed
26,26,74669.497,directed
29,26,19036.103,directed
71,26,90230.55,directed
39,26,14047.617,directed
90,26,1280374.05,directed
90,26,839543.479,directed
147,26,155318.659,directed
14,26,2352.011,directed
90,26,839543.479,directed
71,26,304.465,directed
101,26,13464.615,directed
29,26,1675128.911,directed
69,8,1617.183,directed
53,8,1852.024,directed
29,8,42107.751,directed
29,8,242069.986,directed
103,8,3531.93,directed
69,8,18463.59,directed
53,8,1528551.392,directed
29,8,284177.736,directed
53,18,26.902,directed
29,18,902.722,directed
53,18,26.902,directed
30,17,4611.76,directed
30,17,4611.76,directed
129,26,752.644,directed
69,26,5145.533,directed
142,26,1554.179,directed
26,26,1634.925,directed
26,26,1634.925,directed
101,26,13464.615,directed
71,26,339660.022,directed
26,29,65456.281,directed
26,123,771933.718,directed
26,146,3006.129,directed
26,26,61940.488,directed
39,26,548.185,directed
90,26,561408.361,directed
90,26,1438454.377,directed
116,26,288.908,directed
49,26,4532195.582,directed
53,26,274562.283,directed
76,26,55359.302,directed
116,26,288.908,directed
53,26,274562.283,directed
76,26,55359.302,directed
26,146,3006.129,directed
26,69,2071.992,directed
26,69,1010.439,directed
26,135,3529.868,directed
26,147,12891.984,directed
26,68,2640.179,directed
113,26,379.285,directed
67,26,99.266,directed
135,26,725.234,directed
101,26,13464.615,directed
29,26,232739.453,directed
53,26,34837.172,directed
49,26,4531465.903,directed
29,26,1055341.044,directed
90,26,37502.538,directed
29,26,232739.453,directed
71,26,240885.19,directed
147,26,98691.123,directed
90,26,39161.169,directed
53,26,234618.099,directed
29,26,140842.123,directed
26,26,12729.01,directed
29,26,45132.684,directed
71,26,23925.323,directed
53,26,5107.012,directed
53,26,5107.012,directed
39,26,13499.432,directed
14,26,2352.011,directed
71,26,339660.022,directed
26,26,29262.721,directed
147,26,254012.004,directed
26,146,3006.129,directed
26,123,771933.718,directed
26,69,2071.992,directed
26,147,12891.984,directed
26,53,14275.781,directed
133,26,973.399,directed
38,26,10628.127,directed
71,26,315430.234,directed
14,26,2352.011,directed
49,26,4532195.582,directed
29,26,194185.733,directed
14,26,2352.011,directed
38,26,10628.127,directed
133,26,973.399,directed
26,53,14275.781,directed
26,68,2640.179,directed
135,28,1442.05,directed
29,28,4383.4,directed
142,26,1554.179,directed
49,26,729.679,directed
49,26,729.679,directed
71,26,8544.282,directed
71,26,8544.282,directed
26,26,14898.786,directed
135,26,725.234,directed
29,26,11714.867,directed
90,26,81416.621,directed
29,26,6887.874,directed
29,26,194185.733,directed
29,26,11714.867,directed
116,26,288.908,directed
29,26,6887.874,directed
26,26,1634.925,directed
26,26,1634.925,directed
26,26,1634.925,directed
113,26,379.285,directed
26,26,74669.497,directed
71,26,304.465,directed
29,26,45132.684,directed
90,26,1280374.05,directed
14,26,2352.011,directed
53,26,5107.012,directed
29,26,25695.072,directed
39,26,74370.218,directed
101,26,13464.615,directed
26,26,91203.209,directed
147,26,254012.004,directed
26,26,61940.488,directed
26,53,14275.781,directed
26,69,1010.439,directed
26,147,12891.984,directed
26,142,8148.7,directed
49,26,4532195.582,directed
53,26,274562.283,directed
112,26,11.112,directed
96,26,34.817,directed
96,26,34.817,directed
147,26,2.222,directed
68,26,0.741,directed
112,26,0.741,directed
142,26,1554.179,directed
129,26,752.644,directed
69,26,5145.533,directed
69,26,5145.533,directed
69,26,5145.533,directed
69,26,5145.533,directed
49,26,4531465.903,directed
15,26,131857.812,directed
90,26,39161.169,directed
29,26,1055341.044,directed
29,26,129127.257,directed
49,26,4531465.903,directed
53,26,34837.172,directed
133,26,973.399,directed
15,26,131857.812,directed
71,26,240885.19,directed
15,26,131857.812,directed
116,26,288.908,directed
90,26,39161.169,directed
53,26,234618.099,directed
53,26,34837.172,directed
90,26,39161.169,directed
98,26,77.042,directed
113,26,379.285,directed
145,26,11545.966,directed
71,26,90230.55,directed
71,26,66000.763,directed
90,26,440830.572,directed
147,26,155318.659,directed
53,26,5107.012,directed
39,26,13499.432,directed
71,26,66000.763,directed
26,26,61940.488,directed
29,18,729.386,directed
29,18,173.337,directed
116,30,1605.02,directed
116,30,41605.41,directed
116,30,1605.02,directed
116,30,41605.41,directed
116,30,43210.43,directed
116,30,43210.43,directed
129,26,752.644,directed
129,26,752.644,directed
69,26,5145.533,directed
129,26,752.644,directed
69,26,5145.533,directed
129,26,752.644,directed
29,26,401.509,directed
112,26,10.371,directed
112,26,11.112,directed
29,26,401.509,directed
112,26,10.371,directed
147,26,2.222,directed
147,26,2.222,directed
68,26,0.741,directed
68,26,0.741,directed
142,26,1554.179,directed
49,26,729.679,directed
49,26,729.679,directed
142,26,1554.179,directed
101,26,13464.615,directed
135,26,725.234,directed
53,26,34837.172,directed
133,26,973.399,directed
53,26,234618.099,directed
38,26,10628.127,directed
147,26,98691.123,directed
71,26,304.465,directed
29,26,1210392.278,directed
26,26,29262.721,directed
145,26,11545.966,directed
26,71,1949252.647,directed
26,29,65456.281,directed
90,26,561408.361,directed
116,26,288.908,directed
29,26,194185.733,directed
39,26,548.185,directed
15,26,131857.812,directed
26,26,61940.488,directed
26,135,3529.868,directed
26,135,3529.868,directed
26,146,3006.129,directed
26,71,1949252.647,directed
15,26,131857.812,directed
38,26,10628.127,directed
113,26,379.285,directed
98,26,77.042,directed
26,68,2640.179,directed
29,26,194185.733,directed
90,26,81416.621,directed
133,26,973.399,directed
29,26,140842.123,directed
145,26,11545.966,directed
26,26,61940.488,directed
14,26,2352.011,directed
39,26,14047.617,directed
147,26,155318.659,directed
26,26,14898.786,directed
39,26,60870.786,directed
39,26,60870.786,directed
101,26,13464.615,directed
135,26,725.234,directed
26,26,14898.786,directed
76,26,55359.302,directed
29,26,129127.257,directed
71,26,240885.19,directed
53,26,234618.099,directed
38,26,10628.127,directed
29,26,6887.874,directed
98,26,77.042,directed
113,26,379.285,directed
113,26,379.285,directed
26,26,12729.01,directed
29,26,19036.103,directed
26,26,12729.01,directed
71,26,304.465,directed
147,26,155318.659,directed
71,26,23925.323,directed
145,26,11300.024,directed
39,26,548.185,directed
39,26,548.185,directed
145,26,11300.024,directed
135,26,725.234,directed
101,26,13464.615,directed
135,26,725.234,directed
26,26,91203.209,directed
39,26,74918.403,directed
29,26,1210392.278,directed
135,26,725.234,directed
39,26,74918.403,directed
26,142,8148.7,directed
29,26,270149.392,directed
71,26,23925.323,directed
38,26,10628.127,directed
133,26,973.399,directed
14,26,2352.011,directed
26,123,771933.718,directed
26,71,1949252.647,directed
26,147,12891.984,directed
15,26,131857.812,directed
98,26,77.042,directed
98,26,77.042,directed
26,69,1061.553,directed
67,26,99.266,directed
67,26,99.266,directed
96,26,34.817,directed
112,26,10.371,directed
145,26,245.943,directed
145,26,245.943,directed
29,26,401.509,directed
112,26,11.112,directed
96,26,34.817,directed
29,26,401.509,directed
68,26,0.741,directed
68,26,0.741,directed
112,26,0.741,directed
45,29,96.0,directed
84,29,17745.0,directed
135,29,1359.0,directed
8,29,10000.0,directed
113,29,7825.0,directed
14,29,959.0,directed
29,29,25973039.0,directed
67,29,140758.0,directed
49,29,7713988.0,directed
117,29,2752013.0,directed
68,29,1736714.0,directed
61,29,173929.0,directed
90,29,14713619.0,directed
39,29,579434.0,directed
128,29,140055568.0,directed
150,29,32704649.0,directed
9,29,122262.0,directed
15,29,1171800.0,directed
26,29,1793181.0,directed
